区域,名称,景点id,类型,级别,热度,地址,特色,经度,纬度,票价,月销量,图片
北京·北京·朝阳区,自主城小区游泳健身会所,4250859931,运动健身,无级别,热度 0.0,北京市朝阳区博大路3号院自主城健身会所,休闲健身的好去处,116.480465,39.842162,无票价,无销量,http://img1.qunarzz.com/sight/p0/1501/e2/e2e857782bca79f8.water.jpg_280x200_46d88bdf.jpg
北京·北京·朝阳区,常营体育公园冰雪嘉年华,4082683721,运动健身,无级别,热度 0.0,北京市朝阳区常营体育公园冰雪嘉年华,无特色,116.612543,39.928692,免费 ,无销量,http://img1.qunarzz.com/sight/p0/1901/41/41490630e2f899b0a3.img.jpg_280x200_fc7766ea.jpg
北京·北京·朝阳区,财满街幸福家园YMCA游泳馆,2560832927,运动健身,无级别,热度 0.0,北京市朝阳区朝阳路67号叠墅小区2号楼B1层YMCA游泳俱乐部,丰富家庭生活领域，提高生活品质,116.543084,39.923156,无票价,无销量,http://img1.qunarzz.com/sight/p0/1705/a0/a00d0324e5b0430ca3.img.jpg_280x200_4cb98311.jpg
北京·北京·朝阳区,马博士婴儿游泳馆,3787460911,运动健身,无级别,热度 0.0,北京市朝阳区东坝中街,让宝宝体格更健壮,116.546679,39.971564,无票价,无销量,http://img1.qunarzz.com/sight/p0/1411/e9/c9611b12cab793c89ff795bf4e884dc2.water.jpg_280x200_bf4d9fdb.jpg
北京·北京·朝阳区,北京金中慧高尔夫俱乐部,658561370,运动健身,无级别,热度 0.0,北京市朝阳区豆各庄水牛房8号,提供专业、实惠、全方位的高尔夫运动服务,116.561931,39.847383,免费 ,无销量,http://img1.qunarzz.com/sight/p0/201408/04/b0b6bd2a4b51270d6eec535b68b2f440.jpg_280x200_562ef82c.jpg
北京·北京·朝阳区,工体极地冰雪嘉年华,603922910,运动健身,无级别,热度 0.0,北京市朝阳区工人体育场北路,"感受极地冰雪的美妙,就在工体冰雪嘉年华",116.453826,39.936788,无票价,无销量,http://img1.qunarzz.com/sight/p0/201301/16/2a3860d4e73933f793835fbb.jpg_280x200_53a639d0.jpg
北京·北京·朝阳区,卡布其诺游泳馆,577595279,运动健身,无级别,热度 0.0,北京市朝阳区将台路将府家园北里128号楼（卡布其诺小区内）,除游泳，还有跑步机等健身器械,116.51138,39.978462,免费 ,无销量,http://img1.qunarzz.com/sight/p0/201306/24/fb2dd8cb4e2fd6b7c8d65eac.jpg_280x200_dd255c1e.jpg
北京·北京·朝阳区,北京翡翠湖高尔夫,3264870237,运动健身,无级别,热度 0.0,北京市朝阳区金盏森林公园东1号,氧气指数达到国家一级标准的球场,116.59324,40.017968,免费 ,无销量,http://img1.qunarzz.com/sight/p0/1409/12/4b1fa59a30d5b1b81e86d4da9a8c7ef4.jpg_280x200_ba295cf2.jpg
北京·北京·朝阳区,华星冰雪欢乐party,2422579587,运动健身,无级别,热度 0.0,北京市朝阳区京承高速奶东公园北侧 华星国际冰上运动中心华星冰雪欢乐party,在这里你可以体会冰雪世界的快乐,116.486442,40.053977,无票价,无销量,http://img1.qunarzz.com/sight/p0/1812/e0/e027dc720fba4540a3.img.jpg_280x200_044122e4.jpg
北京·北京·朝阳区,博雅国际中心游泳馆,1212564314,运动健身,无级别,热度 0.0,北京市朝阳区利泽中一路1号博雅国际中心B1楼(近广顺北大街),乐水者智,116.476102,40.019702,无票价,无销量,http://img1.qunarzz.com/sight/p0/1412/c1/456fe3e1d6a027f167d0e7dc09f4dbaf.water.jpg_280x200_4b3dcbca.jpg
北京·北京·朝阳区,北京康辉健身游泳馆,935833804,运动健身,无级别,热度 0.0,北京市朝阳区南湖南路8号院风格雅园内,动起来！收获健康好身体,116.471054,40.000747,免费 ,无销量,http://img1.qunarzz.com/sight/p0/201307/04/51c1100b681c3720c8d65eac.jpg_280x200_d9bdc67c.jpg
北京·北京·朝阳区,飓风泰拳馆,3957427750,运动健身,无级别,热度 0.0,北京市朝阳区三里屯路11号三里屯Village北区B1楼NLG-46B号,飓风俱乐部朝阳区工人体育场北路8号三里屯SOHO一号商场，这里经济繁华，环境清雅，空气清新；位于北京二环及三环路之间，北,116.460859,39.94408,无票价,无销量,http://img1.qunarzz.com/sight/p0/201301/18/268650a22f37a43093835fbb.jpg_280x200_390c7e2a.jpg
北京·北京·朝阳区,蓝翅健身会所,2331612921,运动健身,无级别,热度 0.0,北京市朝阳区左安门外饮马井1号院内,蓝翅健身是北京地区屈指可数的大型会员制专业健身会所，近4500平方米的超大空间，同时给您一个绿色的健身环境，融会科学健身,116.452706,39.872417,无票价,无销量,http://img1.qunarzz.com/sight/p0/201312/24/035dea2e7826139a197d746c3599cd09.jpg_280x200_0282170e.jpg
北京·北京·大兴区,龙熙滑雪场,2038929765,运动健身,无级别,热度 0.0,北京市大兴区庞各庄镇顺景路8号,带你体验不同凡响的滑雪感受,116.305307,39.634267,无票价,无销量,http://img1.qunarzz.com/sight/p0/1612/38/381f696178310966a3.img.jpg_280x200_0a72d2ff.jpg
北京·北京·大兴区,高达国际健身俱乐部,1012778368,运动健身,无级别,热度 0.0,北京市大兴区生物医药基地天华大街绿地启航国际3号楼3层,设施齐全，课程丰富，满足运动健身需求,116.320583,39.697015,免费 ,无销量,http://img1.qunarzz.com/sight/p0/1610/f1/f16e5ac1aa199a3fa3.img.jpg_280x200_b286c67a.jpg
北京·北京·大兴区,快乐阳光游泳健身会所,1329069997,运动健身,无级别,热度 0.0,北京市大兴区西红门35号院（公安大院）,一流的设备，让您充分享受游泳带来,116.366476,39.800131,无票价,无销量,http://img1.qunarzz.com/sight/p0/1502/66/666365b9c928dc61.water.jpg_280x200_95dbbe35.jpg
北京·北京·大兴区,金星游泳馆,1004812673,运动健身,无级别,热度 0.0,北京市大兴区西红门镇金华园小区,优惠项目超多，环境优美、休闲度假,116.386736,39.770651,无票价,无销量,http://img1.qunarzz.com/sight/p0/201306/20/5891874661be2679c8d65eac.png_280x200_927407d4.png
北京·北京·大兴区,北京雪都滑雪场,3292325517,运动健身,无级别,热度 0.0,北京市大兴区榆垡镇刘家铺,多种滑雪项目应有尽有,116.2635,39.544877,无票价,无销量,http://img1.qunarzz.com/sight/p0/1712/55/551ae990f0a9ced5a3.img.jpg_280x200_75c8e6fc.jpg
北京·北京·东城区,远洋德邑游泳馆,3154530466,运动健身,无级别,热度 0.0,北京市东城区（原崇文区）忠实里南街6-2号远洋德邑小区c座,游泳爱好者畅游的不二去处,116.452367,39.900715,免费 ,无销量,http://img1.qunarzz.com/sight/p0/201306/21/59296c6bb3123f30c8d65eac.jpg_280x200_85771341.jpg
北京·北京·东城区,云顶游泳健身会所,285557160,运动健身,无级别,热度 0.0,北京市东城区管村32号院8号楼,设施齐全,116.400139,39.870028,无票价,无销量,http://img1.qunarzz.com/sight/p0/1611/e1/e12f5c80752f6184a3.img.jpg_280x200_0ec8ce8f.jpg
北京·北京·房山区,北京思格森高尔夫,3988561465,运动健身,无级别,热度 0.0,北京市房山区琉璃河镇赵营村,原生态林克斯风格球场,116.220758,39.649069,免费 ,无销量,http://img1.qunarzz.com/sight/p0/1409/05/8444f435315c43905e5693674f1d7f81.jpg_280x200_54b36d64.jpg
北京·北京·房山区,金泷湖高尔夫,3203705470,运动健身,无级别,热度 0.0,北京市房山区青龙湖镇常乐寺村。,千年古刹与明代皇家古塔在球场东西侧,116.093546,39.823773,无票价,无销量,http://img1.qunarzz.com/sight/p0/1409/11/3b2c0f66943b0d76bfd0b5b8192384f6.jpg_280x200_b563560c.jpg
北京·北京·丰台区,SOHO健身俱乐部（赵公口店）,3215234925,运动健身,无级别,热度 0.0,北京市丰台区东铁匠营沙子口路贾家花园3号院6号楼（光彩体育馆对面）,带你健身带你飞,116.421167,39.858835,免费 ,无销量,http://img1.qunarzz.com/tuan/team2/1507/ba/2f153d65c96133.jpg_280x200_dce20daa.jpg
北京·北京·丰台区,怡海花园游泳健身俱乐部,176126884,运动健身,无级别,热度 0.0,北京市丰台区南四环西路129号,游泳培训、减脂塑形班、私人教练,116.309272,39.840641,无票价,无销量,http://img1.qunarzz.com/sight/p0/201403/13/567f2807b9d833c09fbf1aa8132978d0.jpg_280x200_a2ff29e4.jpg
北京·北京·丰台区,北京夫子羽毛球俱乐部（丰台店）,3358125687,运动健身,无级别,热度 0.0,北京市丰台区万柳桥郑王坟97号院A区9号,北京夫子羽毛球俱乐部有限公司成立于2003年6月，致力于羽毛球产业经营和相关产业开发，是一家集球馆经营、培训学校、羽球连,116.339111,39.848121,免费 ,无销量,http://img1.qunarzz.com/sight/p0/1409/17/1a1aa04d97c46d45e9455beb83f0cabe.jpg_280x200_5e16faf5.jpg
北京·北京·丰台区,帝都游泳健身,1500901493,运动健身,无级别,热度 0.0,北京市丰台区西马场路6号院14号楼B1-101(苏宁易购南20米),满足您的运动生活,116.392609,39.847031,无票价,无销量,http://img1.qunarzz.com/sight/p0/1612/e5/e564128c8b07c52ea3.img.jpg_280x200_e58dc3f5.jpg
北京·北京·丰台区,丰和羽毛球馆,2370785674,运动健身,无级别,热度 0.0,北京市丰台区西南四环文体路58号院,约上三两好友，来一场酣畅淋漓的羽毛球比赛,116.293659,39.858281,无票价,无销量,http://img1.qunarzz.com/sight/p0/1502/97/97f93814eca67bbf.water.jpg_280x200_8c90cf40.jpg
北京·北京·丰台区,百汇国际健身会,326568193,运动健身,无级别,热度 0.0,北京市丰台区小屯路9号立高大厦底商,想要拥有健康生活，先从百汇健身开始,116.258706,39.895263,无票价,无销量,http://img1.qunarzz.com/sight/p0/1502/d7/d7148b37dfbae4c0.water.jpg_280x200_d0c4ad62.jpg
北京·北京·海淀区,英睿游泳馆,3835610356,运动健身,无级别,热度 0.0,北京市海淀区大钟寺东路9号京仪大酒店B1层,打造多元化运动健康服务,116.344538,39.977805,免费 ,无销量,http://img1.qunarzz.com/sight/p0/1512/32/3285d25f158a403290.water.jpg_280x200_6142c3b8.jpg
北京·北京·海淀区,爱浪游泳俱乐部,3206104824,运动健身,无级别,热度 0.0,北京市海淀区大钟寺太阳区13号楼4层,现在不努力，夏天徒伤悲,116.34573,39.975978,免费 ,无销量,http://img1.qunarzz.com/sight/p0/201305/23/6ff3df890ecc6d16c8d65eac.jpg_280x200_d4d5845b.jpg
北京·北京·海淀区,燕西高尔夫俱乐部,2171020856,运动健身,无级别,热度 0.0,北京市海淀区四季青巨山路21号,全情营造高端高尔夫球享受,116.225668,39.952174,无票价,无销量,http://img1.qunarzz.com/sight/p0/1409/09/909b8880819055ebd99f2a6300007aea.jpg_280x200_e637b431.jpg
北京·北京·海淀区,佰伦斯游泳健身俱乐部,2411488162,运动健身,无级别,热度 0.0,北京市海淀区西三环北路厂洼路19号皇苑酒店B1层,设施完备的游泳健身连锁旗舰店,116.310713,39.964071,无票价,无销量,http://img1.qunarzz.com/sight/p0/1603/a5/a54b96c22e301d4a90.water.jpg_280x200_13377766.jpg
北京·北京·海淀区,宏博冰上运动中心,1969127909,运动健身,无级别,热度 0.0,北京市海淀区西三环外蓝靛厂南路宝联体育公园南侧,与冰为舞,116.303863,39.941955,无票价,无销量,http://img1.qunarzz.com/sight/p0/1703/d2/d2c53e0efa88c005a3.img.jpg_280x200_84d19fc7.jpg
北京·北京·海淀区,石油勘探研究院大学游泳馆,263819552,运动健身,无级别,热度 0.0,北京市海淀区学院路20号,石油勘探研究院游泳馆，它以“进入社区、贴近百姓、科学健身、休闲娱乐、服务规范” 为宗旨，面向社会全方位开放。设施先进的,116.365641,40.002536,无票价,无销量,http://img1.qunarzz.com/sight/p0/201307/04/aaa0f7cb98bdb748c8d65eac.png_280x200_0e239ecf.png
北京·北京·海淀区,北京罗耶尔灵克练习场,3035253686,运动健身,无级别,热度 0.0,北京市海淀区正福寺8号,罗耶尔灵克体育俱乐部(Royal Link)，飞距离280码专业球道，平坦开阔。客人可清晰感知球的落点与方向。三层99个,116.285289,39.953832,无票价,无销量,http://img1.qunarzz.com/sight/p0/1506/bb/5f962004ef3fabc1ccffa5f47d8fb3d0.water.jpg_280x200_0eebe580.jpg
北京·北京·海淀区,首体大众冰雪季,719723998,运动健身,无级别,热度 0.0,北京市海淀区中关村南大街54号,3600平米冰上场地。冬季项目之爱的初体验。趣味项目合家High起来。,116.334947,39.949733,无票价,无销量,http://img1.qunarzz.com/sight/p0/1412/2b/744cc3952dafe753351402f3989e5e1e.water.jpg_280x200_f88d5bbc.jpg
